"Page","AltText"
"P01","Trang 1, ba khung: sân gạch cuối hẻm đang chuẩn bị ngày hội. Cô Sen nhắc chừa lối đi; Bắp nhận làm phần giữa, còn Lam nhận thấy chỗ đặt bảng hơi chật."
"P02","Trang 2: Bắp tự hào giơ mặt trời giấy đỏ ba lớp. Lam định nói về lối đi nhưng Bắp lại nhận lời giúp một bạn buộc dây."
"P03","Trang 3, bốn khung nhanh: Bắp vừa buộc dây vừa đưa keo. Lam kiểm tra lối đi rồi nhẹ nhàng xoay bảng và dời đồ sang bên."
"P04","Trang 4: Bắp trở lại, thấy bố cục đã bị đổi. Lam giải thích chỗ cũ chắn lối; Bắp siết tia giấy và nói “Không sao” dù vai và tay căng lên."
"P05","Trang 5: dưới mép bàn, một nếp giấy đỏ cuộn thành Cục Tức nhỏ như viên bi. Nó bắt chước bàn tay đang siết của Bắp."
"P06","Trang 6: Lam hỏi Bắp có chắc không. Bắp ôm nhiều dụng cụ và nói “Tớ làm được”; Cục Tức sau gót cậu phồng lớn hơn."
"P07","Trang 7: Bắp cố làm nhiều việc cùng lúc, làm rơi thước. Lam đề nghị giúp nhưng Bắp giật lấy thước và từ chối."
"P08","Trang 8: Cục Tức phồng như quả bóng, méo mình lách qua khe ghế rồi bật tròn. Bắp vẫn giục bản thân làm nhanh."
"P09","Trang 9: Cục Tức che khuất Lam và nửa tấm bảng trong tầm nhìn của Bắp. Lam cảnh báo sợi dây đã mắc."
"P10","Trang 10: Bắp kéo thử sợi dây căng; Lam chỉ nút mắc và bảo nới trước. Bắp đặt chân vững, chuẩn bị kéo lần nữa."
"P11","Trang 11: Lam xin Bắp dừng một chút. Bắp do dự rồi vẫn kéo mạnh, nói “Tớ tự làm được”, trong khi Cục Tức căng phồng sát khung."
"P12","Trang 12, hai khung lớn: tiếng “RẸẸẸT!” khi dây kéo làm rách tấm bảng và mặt trời giấy. Mảnh giấy rơi trong khoảng lặng; không ai bị thương."
"P13","Trang 13: Bắp nhìn Cục Tức khổng lồ và nói tại nó phồng lên. Lam nhắc rằng tay Bắp đã kéo; Bắp quay đi, Cục Tức lăn theo."
"P14","Trang 14: Bắp ngồi ở bậc cửa cạnh Cục Tức. Cô Sen hỏi cậu muốn ở một mình hay cô ngồi gần, rồi tôn trọng khoảng cách cậu chọn."
"P15","Trang 15: Bắp mở bàn tay khỏi nắm siết, chạm má nóng và nhận ra tay đau. Cô Sen đặt cốc nước trong tầm với rồi lùi lại."
"P16","Trang 16: Lam đứng phía bên kia Cục Tức, gọi Bắp. Bắp dịch ghế để đối diện và nói cậu chưa sẵn sàng hoàn toàn nhưng muốn nói."
"P17","Trang 17, hai khung: Bắp gọi tên cơn giận và nói cậu giận vì phần mình làm bị đổi mà không ai hỏi. Cục Tức hạ thấp dần."
"P18","Trang 18: Lam nói cô muốn chừa lối đi nhưng lẽ ra phải hỏi trước. Bắp thừa nhận mình không thật sự “không sao”; hai bạn nhìn thấy nhau rõ hơn."
"P19","Trang 19: Bắp và Lam trở lại tấm bảng rách. Bắp nhận mình đã kéo quá mạnh và sẽ vá; Lam đặt cuộn giấy xuống, nói “Mình vá”."
"P20","Trang 20, bốn khung: Bắp không muốn bỏ phần mặt trời. Hai bạn thử xoay, vá và nối thêm các tia nhiều màu để lối đi vẫn rộng."
"P21","Trang 21: cả nhóm cùng sửa bảng. Bắp chỉ nhận một việc mỗi lần và dừng tay hỏi Lam trước khi đổi chỗ một tia giấy."
"P22","Trang 22: đường vá vẫn hiện rõ nhưng tấm bảng đã giữ được. Cục Tức nhỏ như quả quýt ngồi cạnh hộp dây và khẽ “ụp”."
"P23","Trang 23: cả nhóm cùng nâng bảng, Bắp và Lam giữ hai bên. Khi bảng hơi lệch, Bắp dừng lại và hỏi trước khi đổi chỗ."
"P24","Trang 24: Bắp và Lam cùng chỉnh tấm bảng đã vá với mặt trời đỏ và các tia nhiều màu. Toàn cảnh ngày hội, lối đi rộng, Cục Tức nhỏ ngồi cạnh nhóm bạn."

